00:00:00 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:01 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:02 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:03 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:04 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:05 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:06 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:07 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:08 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:09 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:10 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:11 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:12 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:13 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:14 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:15 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:16 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:17 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:18 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:19 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:20 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:21 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:22 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:23 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:24 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:25 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:26 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:27 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:28 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:29 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:30 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:31 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:32 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:33 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:34 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:35 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:36 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:00:37 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
